Main Base
0	-1	0
1
0	416 1410.87	441 1435.87	0 0	0 0	50 50	14 11	0	5 5	100	0	1	1 1 50 50	25
45	30	52
e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	6003	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	1006804	0	0	0	0	0	e006	
e006	0	0	0	0	0	6003	6003	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	1006804	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	1006804	1006804	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	0	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	0	
e006	0	0	0	0	0	0	0	0	0	0	1005302	1005302	1005302	1005302	1005302	1005302	1005302	1005302	0	0	0	0	0	0	0	0	0	0	0	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	0	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	1006804	1006804	0	0	e006	
e006	0	0	0	0	0	0	0	6003	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	1006804	0	0	0	e006	
e006	0	0	0	0	0	0	6003	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	6003	6003	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	6003	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	6003	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	6003	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	6003	0	6003	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	6003	6003	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	6003	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	6003	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	6003	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	6003	0	0	0	0	e006	
e006	0	0	0	0	0	0	6003	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	6003	6003	6003	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	6003	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
0	0	0	0	0	0	0	0	0	0	0	1005302	1005302	1005302	1005302	1005302	1005302	1005302	1005302	0	0	0	0	0	0	0	0	0	0	e006	
0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	6003	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	6003	6003	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	6003	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	
