Main Base
1	6	1006801
8
0	-39 1311	-19 1331	0 0	0 0	40 40	44 26	4	2 6	0.333333	-427.414	1	1 1 40 40	20
1	335.48 1164.68	360.48 1189.68	0 0	0 0	50 50	6 22	0	-474 5	100	0	1	1 1 50 50	25
2	223.349 507.058	243.349 527.058	0 0	0 0	40 40	4 10	4	1 6	0.333333	-183.49	1	1 1 40 40	20
3	235.606 1026.98	255.606 1046.98	0 0	0 0	40 40	17 25	3	4 5	0.5	-60.8155	1	1 1 40 40	20
4	573 989	593 1009	0 0	0 0	40 40	9 25	4	2 6	0.333333	-52.4709	1	1 1 40 40	20
5	901.025 1404.88	921.025 1424.88	0 0	0 0	40 40	25 24	3	1 5	0.5	-15.58	1	1 1 40 40	20
6	308.959 1130.86	328.959 1150.86	0 0	0 0	40 40	17 25	3	3 5	0.5	0	1	1 1 40 40	20
7	635 1197	655 1217	0 0	0 0	40 40	11 22	5	10 10	0.5	-2.169	1	1 1 40 40	20
45	30	52
e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	1006c03	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	1006801	1006801	1006801	1006801	1006801	1006801	0	0	0	0	e006	
e006	0	0	0	0	0	1006c03	1006c03	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	1006801	0	0	0	0	e006	
e006	0	1006c03	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	1006801	0	0	0	0	e006	
e006	0	0	0	1006c03	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	1006801	1006801	0	0	0	1006801	0	0	0	0	0	
e006	0	0	0	0	1006c03	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	1006801	0	0	0	1006801	0	0	0	0	0	
e006	0	0	0	0	0	0	0	0	0	0	1005302	1005302	1005302	1005302	1005302	1005302	1005302	1005302	0	1006607	0	0	0	1006607	0	0	0	0	0	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	1006801	0	0	0	1006801	0	0	0	0	0	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	1006801	1006801	0	0	0	1006801	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	1006c03	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	1006801	0	0	0	0	e006	
e006	0	0	0	0	0	0	1006c03	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	1006801	0	0	0	0	e006	
e006	0	0	0	0	0	0	1006c03	1006c03	0	0	3000	3000	3000	3000	3000	3000	3000	3000	1006801	1006801	1006801	1006801	1006801	1006801	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	1006c03	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	1006804	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	3006205	3006205	3006205	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	3006205	3006205	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	1006c03	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	1006c03	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	1006c03	1006c03	1006c03	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	1006c03	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
0	0	0	0	0	0	0	0	0	0	0	1005302	1005302	1005302	1005302	1005302	1005302	1005302	1005302	0	0	0	0	0	0	0	0	0	0	e006	
0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
0	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	1006c03	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	1006c03	1006c03	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	1006c03	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	0	0	0	0	0	0	0	0	0	0	3000	3000	3000	3000	3000	3000	3000	3000	0	0	0	0	0	0	0	0	0	0	e006	
e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	e006	
